popularity;acousticness;danceability;duration_ms;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;valence;music_genre
9.0;0.757;0.0816;169627.0;0.0554;0.312;A#;0.108;-19.406;Minor;0.0391;74.907;0.0703;Classical
43.0;0.996;0.585;230307.0;0.0139999999999999;0.929;F;0.126;-29.092;Major;0.102;127.593;0.266;Classical
40.0;0.914;0.24;246733.0;0.325;0.000398;G;0.115;-13.26;Major;0.0354;119.141;0.109;Classical
52.0;0.7;0.462;225067.0;0.741;0.0;A#;0.34;-8.008;Minor;0.162;;0.589;Hip-Hop
16.0;8.01e-06;0.315;207987.0;0.919;0.772;C;0.342;-2.588;Major;0.0467;175.054;0.574;Anime
32.0;0.0411;0.7190000000000001;190312.0;0.917;0.000645;A;0.226;-3.4;Minor;0.0441;;0.491;Electronic
40.0;0.721;0.6779999999999999;323120.0;0.7809999999999999;0.477;F;0.106;-8.721;Minor;0.0496;82.762;0.53;Jazz
37.0;0.0282;0.515;221378.0;0.875;0.418;A;0.218;-5.707999999999999;Minor;0.0364;165.991;0.497;Anime
24.0;0.0163;0.6779999999999999;255480.0;0.8590000000000001;0.0;G#;0.33;-4.464;Major;0.0415;131.02700000000002;0.66;Anime
43.0;0.223;0.539;230107.0;0.82;1.05e-06;A;0.154;-3.913;Major;0.0363;104.033;0.56;Country
41.0;0.244;0.752;179373.0;0.488;0.0;A;0.0491;-11.498;Major;0.0263;88.945;0.804;Country
30.0;2.57e-06;0.293;355960.0;0.648;0.687;D;0.103;-6.755;Major;0.179;139.19;0.161;Electronic
69.0;0.016;0.555;220907.0;0.931;0.0;G#;0.405;-2.969;Major;0.0367;;0.723;Rock
61.0;0.0565;0.385;302133.0;0.71;7.24e-06;A;0.0632;-5.158;Minor;0.0805;148.385;0.3979999999999999;Hip-Hop
40.0;0.977;0.107;136320.0;0.0102;0.994;D;0.0951;-32.462;Minor;0.0505;80.90100000000001;0.0321;Classical
32.0;0.0383;0.7020000000000001;134400.0;0.94;0.201;G#;0.349;-3.562;Minor;0.191;150.066;0.511;Electronic
71.0;0.606;0.8320000000000001;225103.0;0.439;5.45e-06;E;0.11;-9.594;Minor;0.0996;145.004;0.53;Hip-Hop
25.0;0.949;0.63;256987.0;0.158;1.46e-05;G#;0.114;-8.958;Major;0.0367;;0.259;Anime
10.0;0.327;0.547;278134.0;0.569;1.22e-06;F#;0.182;-7.138999999999999;Major;0.0292;;0.1159999999999999;Anime
41.0;0.144;0.45;197564.0;0.8;0.0;F#;0.0819;-3.772;Major;0.123;72.918;0.916;Jazz
45.0;0.0197;0.848;368150.0;0.6729999999999999;0.6829999999999999;B;0.0395;-10.177;Minor;0.0604;119.989;0.4479999999999999;Electronic
37.0;0.0823;0.67;204787.0;0.978;3.76e-05;F#;0.389;-1.896;Major;0.0374;110.002;0.828;Country
51.0;0.183;0.541;-1.0;0.545;0.0038299999999999;D;0.0527;-9.595;Major;0.0409;77.383;0.705;Country
41.0;0.8290000000000001;0.7190000000000001;305067.0;0.34;0.893;G#;0.154;-13.352;Major;0.0308;113.897;0.713;Jazz
46.0;0.747;0.605;258147.0;0.503;5.1e-06;A;0.723;-7.544;Major;0.0308;120.007;0.239;Country
51.0;0.09;0.424;272600.0;0.451;0.0004799999999999;F;0.11;-8.817;Major;0.0626;129.768;0.212;Rock
42.0;0.552;0.356;264893.0;0.4039999999999999;0.3279999999999999;G;0.0734;-9.321;Major;0.0406;151.935;0.125;Classical
71.0;0.114;0.858;290836.0;0.6970000000000001;0.0;D;0.2239999999999999;-5.361000000000001;Major;0.23;98.012;0.364;Rap
32.0;0.939;0.2339999999999999;299267.0;0.0358;0.715;C#;0.0707;-26.412;Minor;0.0371;136.601;0.107;Classical
54.0;0.0565;0.261;249280.0;0.8490000000000001;1.84e-06;A#;0.242;-5.146;Major;0.0591;142.791;0.23;Alternative
31.0;0.00496;0.774;308000.0;0.8370000000000001;0.00428;B;0.0472;-6.723;Minor;0.0416;125.027;0.499;Electronic
38.0;0.00045;0.471;-1.0;0.931;0.0;D;0.359;-4.151;Major;0.0718;150.047;0.532;Alternative
50.0;0.00164;0.645;187040.0;0.792;0.000126;A;0.0799;-8.671;Major;0.0304;131.388;0.705;Country
40.0;0.233;0.631;181360.0;0.68;0.0;D;0.175;-5.181;Major;0.0252;107.72;0.486;Country
56.0;0.00889;0.377;141000.0;0.506;1.15e-06;B;0.482;-4.773;Minor;0.157;145.254;0.787;Alternative
43.0;0.0973;0.7829999999999999;386267.0;0.411;0.6970000000000001;G#;0.0599;-19.591;Minor;0.087;100.897;0.85;Electronic
48.0;0.00772;0.321;167890.0;0.937;9.46e-05;C;0.21;-4.281000000000001;Major;0.0613;172.97400000000002;0.344;Alternative
56.0;0.203;0.7979999999999999;179103.0;0.774;0.0;B;0.182;-6.948;Major;0.156;;0.657;Hip-Hop
20.0;0.993;0.444;35507.0;0.11;0.8220000000000001;C;0.145;-32.205;Major;0.038;112.207;0.652;Classical
